rank,address,status,score,trades30d,pnl30d,winRate,consistency,maxDrawdown,daysSinceLastTrade,firstSeenGeneration,reason
206,0xff81cc85838ce8f91a7d4ae2eeddadfa3f8444c9,watch,0.5800,495,0.0709,0.6500,0.3300,0.1500,1,0,"global score 0.58 above threshold 0.5, copyable"
207,0x83ab43a70eecf43077991aded14db9b24a4e06df,watch,0.2200,3,0.2895,0.6700,0.3300,0.1500,1,0,"weak score 0.22; profit concentrated in one trade; few resolved trades"
207,0xdaef2be2a19ad331737d06545f85615b094554e9,watch,0.5900,492,0.1336,0.5200,0.2600,0.1500,1,0,"global score 0.59 above threshold 0.5, copyable"
208,0xeebde7a0e019a63e6b476eb425505b7b3e6eba30,watch,0.5500,309,0.0355,0.4500,0.2200,0.1500,1,0,"global score 0.55 above threshold 0.5, copyable"
209,0x3471a897e56a8d3621ca79af87dae4325977f17e,watch,0.5700,498,0.1059,0.5500,0.2800,0.1500,1,0,"global score 0.57 above threshold 0.5, copyable"
209,0x3da89a55cdd4b5c69f80e5cd3ef1782a3e0480c3,watch,0.4800,498,-0.0891,0.6300,0.3200,0.1500,1,0,"borderline score 0.48; spreads usually wide"
209,0xfaf98181c44636998a194aa7660bcae1b977f4c4,watch,0.5900,388,0.0021,1.0000,0.6500,0.1500,1,0,"global score 0.59 above threshold 0.5, copyable"
210,0x0bb8a71b7ed93265c8045640fb3aa1eb93ad253e,watch,0.8500,500,0.6169,0.8900,0.4500,0.1500,1,0,"global score 0.85 above threshold 0.5, copyable"
211,0xef2684030d14a67c2a30a3e4fc00eed7a99505ba,watch,0.4000,423,-0.1820,0.3500,0.1700,0.1500,1,0,"borderline score 0.4; spreads usually wide"
212,0xf7c2664cb29240811d6a89dd3960ebbc03a79b8d,watch,0.6200,491,0.2016,0.4700,0.2300,0.1500,1,0,"global score 0.62 above threshold 0.5, copyable"
213,0x37e944c698f533d3144d1175f3e846dcafb9eede,watch,0.6200,496,0.1698,0.7400,0.3700,0.1500,1,0,"global score 0.62 above threshold 0.5, copyable"
213,0x5d1510f1d860f5b90587369b0a19b5bf7b1aa2d0,watch,0.7800,463,0.4318,0.9100,0.4600,0.1500,1,0,"global score 0.78 above threshold 0.5, copyable"
214,0xc6587b11a2209e46dfe3928b31c5514a8e33b784,watch,0.6700,12,0.4757,1.0000,0.5000,0.1500,1,0,"global score 0.67 above threshold 0.5, copyable"
215,0x76451b711ca9bd422155bc3dfe23ab1dfed03117,watch,0.7300,493,0.4072,0.6100,0.3100,0.1500,1,0,"global score 0.73 above threshold 0.5, copyable"
215,0x893575c7d99542163c6b6e8a0fe5af0b6d217daa,watch,0.8000,500,0.7768,0.7700,0.3900,0.1500,1,0,"global score 0.8 above threshold 0.5, copyable"
215,0x9636b638a9b942b5945b0a54e86acd4120ddd08b,watch,0.7800,331,0.5810,0.8900,0.4500,0.1500,1,0,"global score 0.78 above threshold 0.5, copyable"
216,0x602785cdf56a03221130d3d42a577ac6cf444320,watch,0.5500,487,0.0559,0.6700,0.3400,0.1500,1,0,"global score 0.55 above threshold 0.5, copyable"
216,0xd5b510cca6682d4ab23afadf4694a2febadb3364,watch,0.5800,500,0.0216,0.1700,0.0800,0.1500,1,0,"global score 0.58 above threshold 0.5, copyable"
217,0x10658d371ae1f09eed503a3a14c8ac6a1a936218,watch,0.4600,500,-0.1088,0.3600,0.1800,0.1500,1,0,"borderline score 0.46; no copyability concerns detected"
217,0x7a5bfa766915faaecab7adf3d606d906ea0bd1dd,watch,0.8100,498,0.4652,0.9200,0.4600,0.1500,1,0,"global score 0.81 above threshold 0.5, copyable"
218,0x6bb33bdb14cea8f53766539efc6019b55e8a758e,watch,0.6200,455,0.1794,0.6900,0.3500,0.1500,1,0,"global score 0.62 above threshold 0.5, copyable"
219,0x7845161180695b5741fa3d71f203eaaac497417b,watch,0.6900,219,0.4794,0.6100,0.3100,0.1500,1,0,"global score 0.69 above threshold 0.5, copyable"
220,0xaa6fc72915776598fd7f6b45b04f03f9c26a1dfe,watch,0.5800,418,0.1008,0.5600,0.2800,0.1500,1,0,"global score 0.58 above threshold 0.5, copyable"
